path,size,extension,access_time
C:/Users/Jelena/Downloads\Захтев за све врсте НИ.docx,12494,docx,2024-08-29T19:17:19.704595
C:/Users/Jelena/Downloads\Изјава  о сагласности.docx,13939,docx,2024-08-29T19:17:19.650608
C:/Users/Jelena/Downloads\CV Share_files\amplitude-4.4.0-min.gz.js,76246,js,2024-12-08T01:45:10.205044
C:/Users/Jelena/Downloads\CV Share_files\analytics.js,50205,js,2024-12-08T01:45:10.255265
C:/Users/Jelena/Downloads\CV Share_files\bat.js,38827,js,2022-08-12T00:13:24.059194
C:/Users/Jelena/Downloads\CV Share_files\css.css,6038,css,2022-08-12T00:13:23.045391
C:/Users/Jelena/Downloads\CV Share_files\f.txt,2106,txt,2022-08-12T00:13:23.490204
C:/Users/Jelena/Downloads\CV Share_files\gtm.js,267860,js,2022-08-12T00:13:22.259868
C:/Users/Jelena/Downloads\CV Share_files\index.bundle.js,252307,js,2022-08-12T00:13:23.526209
C:/Users/Jelena/Downloads\CV Share_files\vendors~index.bundle.js,505548,js,2022-08-12T00:13:23.093409
C:/Users/Jelena/Downloads\IZ Predlog Projekta (2023)\IZ Predlog Projekta (2023).docx,15886,docx,2024-12-07T18:10:45.984836
C:/Users/Jelena/Downloads\IZ Predlog Projekta (2023)\IZ Predlog Teme Projekta NAZIV.docx,19471,docx,2024-12-07T18:10:45.936833
C:/Users/Jelena/Downloads\java_cup_v10k\manual.html,65864,html,2024-12-08T01:45:10.049215
C:/Users/Jelena/Downloads\openjdk-19.0.1_windows-x64_bin\jdk-19.0.1\conf\security\policy\README.txt,2390,txt,2022-12-29T13:58:55.635944
C:/Users/Jelena/Downloads\openjdk-19.0.1_windows-x64_bin\jdk-19.0.1\lib\src.zip,51082514,zip,2022-12-29T13:58:54.554980
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\icon.png,1404,png,2022-07-18T16:14:28.270252
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\dataminer\scripts\install_scripts_readme.html,637,html,2022-05-19T15:07:01.719212
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\dropins\readme.txt,893,txt,2022-05-19T15:06:52.595194
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\ide\bin\SplashFontBranding.png,9880,png,2023-05-29T00:07:10.498226
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\ide\src\javax-ide-src.zip,359995,zip,2022-05-19T15:06:47.708234
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\ide\themes\creating_themes.html,27077,html,2022-05-19T15:06:48.628932
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\ide\themes\sizingmargins.png,6182,png,2022-05-19T15:06:48.592931
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdev\extensions\oracle.jdeveloper.git\license\License.txt,1547,txt,2022-05-19T15:06:42.698094
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdev\extensions\oracle.jdeveloper.subversion\licenses\license.txt,11725,txt,2022-05-19T15:06:42.621089
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\README.txt,46,txt,2022-05-19T15:06:42.569081
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\THIRDPARTYLICENSEREADME-JAVAFX.txt,112748,txt,2022-05-19T15:06:42.482082
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\THIRDPARTYLICENSEREADME.txt,149725,txt,2022-05-19T15:06:41.662459
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\Welcome.html,955,html,2022-05-19T15:04:16.422708
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\bin\server\Xusage.txt,1423,txt,2022-05-19T15:04:16.344701
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\lib\jvm.hprof.txt,4226,txt,2022-05-19T15:04:13.255952
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jdk\jre\lib\deploy\ffjcext.zip,14156,zip,2022-05-19T15:04:14.475214
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\jlib\schemas.zip,101306,zip,2022-05-19T15:04:15.223757
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\netbeans\platform\modules\ext\nsProxyAutoConfig.js,11877,js,2022-05-21T22:47:01.785677
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\bin\splash.png,71205,png,2022-05-19T15:06:10.671933
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\icon.png,7258,png,2022-05-19T15:06:10.499918
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\otn_new.css,4185,css,2022-05-19T15:06:10.482917
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\footer_style.css,1410,css,2022-05-19T15:06:09.535951
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\main.css,3421,css,2022-05-19T15:06:08.618215
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\startPage_script.js,4753,js,2022-05-19T15:06:08.569155
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\subPage_script.js,9950,js,2022-05-19T15:06:08.549157
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\de\Training.html,2911,html,2022-05-19T15:06:09.696109
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\de\welcome.html,7237,html,2022-05-19T15:06:09.672105
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\en\Training.html,2926,html,2022-05-19T15:06:09.649099
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\en\welcome.html,7049,html,2022-05-19T15:06:09.628531
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\en\welcome.js,522,js,2022-05-19T15:06:09.614896
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\en\welcome_tran_source.js,491,js,2022-05-19T15:06:09.599895
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\es\Training.html,2926,html,2022-05-19T15:06:09.577957
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\es\welcome.html,7257,html,2022-05-19T15:06:09.556956
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\fr\Training.html,2926,html,2022-05-19T15:06:09.517636
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\fr\welcome.html,7257,html,2022-05-19T15:06:09.497635
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\it\Training.html,2926,html,2022-05-19T15:06:09.474638
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\it\welcome.html,7257,html,2022-05-19T15:06:09.454633
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\ja\Training.html,3222,html,2022-05-19T15:06:09.426604
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\ja\welcome.html,7266,html,2022-05-19T15:06:08.691927
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\ko\Training.html,3044,html,2022-05-19T15:06:08.667299
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\ko\welcome.html,7201,html,2022-05-19T15:06:08.636916
C:/Users/Jelena/Downloads\sqldeveloper-19.2.1.247.2212-x64 (2)\sqldeveloper\sqldeveloper\doc\welcome\pt_BR\Training.html,3026,html,2022-05-19T15:06:08.604952
